1,Beginner,Sunday,09:00:00,6,0,151,1,PENDING
2,Intermediate,Sunday,10:30:00,10,0,152,2,PENDING
3,Advanced,Sunday,14:00:00,12,0,153,3,PENDING
4,Beginner,Monday,09:00:00,5,0,154,4,PENDING
5,Intermediate,Monday,15:00:00,8,0,155,5,PENDING
6,Beginner,Tuesday,08:30:00,7,0,156,1,PENDING
7,Advanced,Tuesday,16:00:00,13,0,157,2,PENDING
8,Beginner,Wednesday,09:00:00,6,0,158,3,PENDING
9,Intermediate,Wednesday,11:00:00,9,0,159,4,PENDING
10,Advanced,Wednesday,17:00:00,14,0,160,5,PENDING
11,Beginner,Thursday,08:00:00,5,0,161,1,PENDING
12,Intermediate,Thursday,14:30:00,10,0,162,2,PENDING
13,Beginner,Friday,09:00:00,6,0,163,3,PENDING
14,Advanced,Friday,15:00:00,12,0,164,4,PENDING
15,Intermediate,Sunday,11:00:00,8,0,165,5,PENDING
16,Beginner,Monday,10:00:00,7,0,166,1,PENDING
17,Advanced,Monday,16:30:00,13,0,167,2,PENDING
18,Beginner,Tuesday,09:30:00,5,0,168,3,PENDING
19,Intermediate,Tuesday,15:30:00,9,0,169,4,PENDING
20,Advanced,Wednesday,10:00:00,14,0,170,5,PENDING
21,Beginner,Thursday,09:00:00,6,0,171,1,PENDING
22,Intermediate,Thursday,16:00:00,11,0,172,2,PENDING
23,Beginner,Friday,08:30:00,5,0,173,3,PENDING
24,Advanced,Friday,14:00:00,15,0,174,4,PENDING
25,Beginner,Sunday,15:00:00,7,0,175,5,PENDING
26,Intermediate,Monday,11:30:00,10,0,176,1,PENDING
27,Advanced,Monday,17:00:00,12,0,177,2,PENDING
28,Beginner,Tuesday,10:00:00,6,0,178,3,PENDING
29,Intermediate,Tuesday,16:30:00,9,0,179,4,PENDING
30,Beginner,Wednesday,08:00:00,5,0,180,5,PENDING
31,Advanced,Wednesday,15:00:00,13,0,181,1,PENDING
32,Beginner,Thursday,10:30:00,7,0,182,2,PENDING
33,Intermediate,Thursday,17:00:00,10,0,183,3,PENDING
34,Beginner,Friday,10:00:00,6,0,184,4,PENDING
35,Advanced,Friday,16:00:00,14,0,185,5,PENDING
36,Intermediate,Sunday,13:00:00,8,0,186,1,PENDING
37,Beginner,Monday,08:00:00,5,0,187,2,PENDING
38,Advanced,Monday,14:30:00,12,0,188,3,PENDING
39,Beginner,Tuesday,11:00:00,7,0,189,4,PENDING
40,Intermediate,Tuesday,17:30:00,9,0,190,5,PENDING
41,Beginner,Wednesday,09:30:00,6,0,191,1,PENDING
42,Advanced,Wednesday,16:00:00,13,0,192,2,PENDING
43,Intermediate,Thursday,08:30:00,10,0,193,3,PENDING
44,Beginner,Thursday,15:00:00,5,0,194,4,PENDING
45,Advanced,Thursday,18:00:00,14,0,195,5,PENDING
46,Beginner,Friday,11:30:00,7,0,196,1,PENDING
47,Intermediate,Friday,17:00:00,8,0,197,2,PENDING
48,Beginner,Sunday,16:00:00,6,0,198,3,PENDING
49,Advanced,Sunday,12:00:00,12,0,199,4,PENDING
50,Intermediate,Monday,13:00:00,9,0,200,5,PENDING
