55,174,11
168,23,4
162,182,16
48,52,10
81,160,12
157,122,2
49,91,9
166,73,18
188,70,8
17,9,8
81,131,8
3,31,1
118,139,2
42,141,18
17,74,11
44,160,12
185,139,9
164,34,7
85,179,4
117,139,19
22,143,5
124,54,2
116,98,14
182,132,13
123,114,5
87,161,6
84,38,8
160,87,14
70,72,10
174,185,14
33,52,7
42,114,2
98,122,10
53,156,16
34,44,4
178,177,15
139,140,3
199,190,8
102,113,19
34,29,16
76,16,3
167,118,3
5,83,6
112,39,17
162,108,18
180,24,5
22,43,2
186,146,2
25,196,12
193,144,9
196,32,20
151,56,12
158,159,15
88,83,11
46,50,20
165,111,13
171,83,7
197,100,20
66,193,20
147,76,10
21,129,9
200,200,1
2,144,10
96,160,7
142,46,14
115,190,13
60,20,14
150,70,3
62,45,16
24,191,2
10,7,15
169,149,9
77,96,10
130,118,4
3,35,7
177,116,20
67,146,16
11,28,9
93,170,1
117,136,10
84,87,10
8,128,18
197,164,8
56,89,11
42,14,2
191,1,18
28,4,14
74,122,9
61,105,5
112,13,10
48,33,5
167,88,1
131,109,10
56,110,5
53,198,3
180,177,7
135,94,16
169,151,9
30,139,16
87,36,17
120,70,2
66,90,20
36,63,18
86,24,6
59,25,1
6,77,4
14,19,20
83,173,2
8,49,17
146,192,3
85,139,18
41,41,3
185,144,20
29,149,4
16,12,8
2,82,6
29,43,3
189,174,13
115,85,6
56,192,17
148,71,10
155,83,9
18,110,15
42,68,1
193,115,18
119,97,3
21,178,4
135,73,6
165,133,9
128,40,18
198,8,13
42,36,15
107,129,3
198,9,12
167,183,15
154,142,4
103,177,18
167,198,18
9,45,6
120,96,5
123,158,6
35,170,14
65,124,11
2,164,19
13,172,14
37,170,5
84,184,3
30,160,14
16,178,4
68,187,3
110,171,13
182,119,2
120,192,14
128,170,6
97,130,10
164,123,3
47,73,3
40,96,8
190,20,9
32,181,19
61,10,18
138,88,15
199,108,8
92,68,3
184,23,20
108,89,1
110,52,12
147,160,6
191,176,5
173,82,18
13,94,11
115,25,2
78,23,6
168,6,17
107,75,3
36,147,15
166,92,12
37,127,14
156,81,8
75,107,20
195,16,16
2,189,13
112,30,3
79,20,16
54,179,15
102,87,11
70,150,1
195,8,15
140,179,14
7,142,15
153,131,14
190,13,6
156,37,8
188,175,6
113,50,6
65,181,8
162,28,13
30,63,9
144,18,2
112,68,18
125,105,9
169,78,2
19,68,11
142,147,18
5,144,6
102,149,18
91,162,8
182,144,14
191,17,16
164,45,5
84,72,5
113,151,1
166,26,16
9,180,2
60,114,7
79,7,7
198,108,12
62,134,5
22,141,5
108,164,8
61,192,2
113,49,18
6,90,13
196,57,12
151,102,20
40,149,4
165,103,2
27,58,16
10,153,13
46,186,18
100,108,2
145,130,12
6,33,4
34,157,2
92,155,19
63,129,12
91,148,20
191,8,6
88,119,17
150,140,15
10,56,15
145,105,4
27,76,15
103,173,1
55,15,4
73,129,1
99,70,14
103,95,11
38,66,16
158,64,3
23,2,14
123,100,6
54,11,14
51,40,14
185,85,20
78,66,9
88,152,15
148,185,2
133,143,17
77,100,19
53,187,19
36,96,1
113,167,11
159,116,19
33,177,8
35,42,3
103,191,16
69,74,12
180,138,12
108,125,8
66,61,2
21,65,5
60,109,15
174,104,16
88,86,4
19,7,13
68,111,8
158,103,17
60,108,5
40,179,18
148,155,5
148,177,19
5,116,2
110,75,10
77,116,18
144,85,17
191,18,19
128,81,11
39,198,12
7,18,10
90,82,8
83,55,14
85,23,12
51,49,18
124,96,17
43,107,11
195,69,19
98,141,19
156,23,16
128,185,10
145,132,11
57,93,15
8,149,10
75,57,19
180,95,17
33,50,17
182,66,20
126,115,11
11,119,6
196,54,10
159,174,6
132,170,16
89,18,17
34,35,3
51,61,12
140,181,15
117,43,17
83,135,3
49,150,6
79,151,12
62,191,19
185,102,7
130,126,13
31,92,2
157,93,16
122,153,9
60,38,11
98,41,2
183,34,14
169,136,15
16,114,10
22,124,4
38,3,16
111,29,8
58,184,13
188,152,12
59,111,18
50,176,17
87,76,3
174,180,10
18,74,9
46,109,7
90,60,20
115,3,13
76,191,14
165,46,15
10,118,18
39,2,1
27,186,16
166,187,1
