13,146
82,193
30,165
149,42
1,84
63,170
67,44
45,163
88,30
43,49
55,116
15,22
57,15
125,69
99,159
43,30
3,7
126,96
80,194
54,144
70,38
122,184
126,105
37,16
72,142
86,153
110,26
104,127
144,132
139,28
66,161
85,113
131,149
66,134
20,137
141,69
84,60
136,166
14,157
108,144
130,192
53,25
116,6
9,174
30,74
37,114
20,179
64,150
3,177
63,158
18,132
116,157
49,13
80,90
59,130
32,165
140,50
62,147
133,49
100,74
4,189
5,164
45,130
94,119
147,95
56,192
58,118
27,103
32,112
71,132
88,45
79,65
55,12
43,108
25,5
64,63
58,80
95,148
94,113
13,19
59,122
100,44
115,66
54,83
20,86
38,192
136,98
24,127
112,67
10,29
98,90
15,191
101,29
92,175
112,138
138,185
20,162
14,81
122,119
96,111
141,94
2,61
113,148
141,93
82,195
7,165
94,154
47,80
52,44
97,89
2,123
12,194
135,114
11,115
137,105
110,116
139,59
118,103
39,151
71,70
93,11
75,30
144,115
6,155
93,93
44,55
59,175
66,81
5,186
96,104
1,22
146,86
53,137
150,27
123,192
104,132
125,111
132,113
128,40
82,2
127,60
126,128
14,185
77,135
150,199
114,197
72,175
27,1
70,65
42,164
69,74
144,144
111,174
85,151
89,88
70,88
7,114
20,189
26,135
65,95
92,92
53,96
32,33
49,123
62,69
143,133
10,103
16,125
80,50
106,200
11,42
78,36
105,15
46,67
55,155
94,77
48,12
98,45
42,26
108,195
81,33
85,181
76,167
63,154
78,197
42,93
73,150
142,16
10,197
62,57
144,90
13,53
150,118
79,183
136,145
148,128
83,42
54,114
147,66
81,66
3,154
110,25
18,188
8,93
89,122
136,58
125,90
5,138
4,109
7,39
25,4
137,161
118,95
8,130
25,176
100,200
57,87
123,98
58,189
106,77
48,173
9,199
63,159
129,199
55,146
98,58
87,122
89,134
61,187
11,49
146,77
119,104
67,48
77,89
49,37
136,105
33,87
123,33
8,17
13,178
96,9
54,194
77,179
22,14
35,124
147,59
95,178
127,24
33,30
110,109
138,183
131,197
112,19
81,110
40,196
40,58
10,175
98,19
60,123
92,122
65,146
138,88
39,61
76,138
100,146
89,183
142,125
78,119
146,30
78,78
80,34
77,24
40,87
80,139
39,105
11,24
77,137
7,136
108,43
73,175
123,198
90,2
129,193
145,179
18,93
132,77
99,68
81,76
33,187
125,162
10,116
4,54
69,118
106,100
58,134
4,160
114,61
1,160
29,154
6,145
55,48
138,94
41,168
42,12
30,180
1,151
18,75
134,82
126,104
68,14
89,91
2,82
143,140
46,166
30,153
19,189
144,8
68,66
40,139
6,73
12,175
13,15
62,74
93,33
49,133
108,138
20,31
91,159
60,42
33,52
67,198
32,54
93,68
56,90
78,126
82,105
114,91
9,73
128,103
77,59
148,177
67,82
102,174
139,63
80,15
79,69
26,195
125,89
59,199
51,121
131,121
8,75
3,186
81,52
40,50
110,45
9,188
119,2
143,3
132,180
58,122
3,141
108,89
36,78
115,2
8,50
5,3
63,99
119,61
138,26
100,87
32,31
2,108
107,2
41,79
120,31
59,26
130,166
93,22
89,174
54,87
139,178
124,71
74,12
76,122
72,154
88,6
85,141
59,63
55,56
60,53
27,80
119,197
82,119
58,83
147,173
71,4
52,72
63,54
103,147
85,93
25,78
74,169
38,35
80,23
144,185
30,11
1,199
89,59
131,104
32,60
13,4
63,91
67,124
70,35
30,113
138,95
17,5
132,154
32,85
1,15
146,196
9,155
148,111
131,40
42,68
118,155
79,128
143,187
33,115
71,31
52,160
104,107
59,86
77,65
123,96
112,197
48,118
30,181
38,155
91,163
94,70
24,86
7,13
42,130
18,36
33,180
36,110
64,144
47,144
