1,Beginner,Wednesday,09:30:00,9,0,152,79
2,Intermediate,Sunday,18:00:00,11,0,187,101
3,Beginner,Monday,18:00:00,14,0,174,92
4,Beginner,Friday,18:30:00,11,0,159,196
5,Beginner,Friday,09:30:00,12,0,159,132
6,Advanced,Friday,10:30:00,9,0,163,167
7,Beginner,Monday,11:30:00,9,0,160,183
8,Intermediate,Monday,20:30:00,15,0,199,142
9,Intermediate,Monday,13:00:00,10,0,155,147
10,Beginner,Friday,15:30:00,15,0,172,142
11,Beginner,Tuesday,08:00:00,13,0,170,48
12,Intermediate,Thursday,10:30:00,6,0,192,147
13,Intermediate,Sunday,14:00:00,12,0,191,59
14,Advanced,Thursday,11:00:00,8,0,155,94
15,Intermediate,Monday,16:30:00,15,0,172,139
16,Intermediate,Thursday,19:00:00,10,0,192,110
17,Beginner,Monday,18:00:00,6,0,160,80
18,Beginner,Tuesday,15:00:00,6,0,171,67
19,Intermediate,Tuesday,16:30:00,13,0,199,33
20,Advanced,Wednesday,20:30:00,15,0,153,88
21,Advanced,Monday,17:00:00,14,0,185,159
22,Intermediate,Tuesday,13:00:00,14,0,191,101
23,Advanced,Sunday,17:00:00,10,0,164,21
24,Advanced,Friday,15:00:00,11,0,185,40
25,Intermediate,Thursday,17:30:00,9,0,185,109
26,Beginner,Tuesday,09:00:00,5,0,197,3
27,Intermediate,Monday,08:00:00,14,0,179,44
28,Beginner,Monday,19:00:00,12,0,181,46
29,Advanced,Tuesday,14:00:00,8,0,186,76
30,Advanced,Monday,10:00:00,10,0,159,156
31,Beginner,Sunday,12:30:00,11,0,157,31
32,Advanced,Sunday,15:00:00,6,0,173,31
33,Beginner,Monday,15:00:00,13,0,179,141
34,Intermediate,Sunday,20:00:00,10,0,152,133
35,Advanced,Friday,17:30:00,7,0,167,183
36,Intermediate,Friday,10:00:00,12,0,190,138
37,Intermediate,Friday,19:30:00,11,0,174,48
38,Advanced,Monday,19:00:00,9,0,171,51
39,Intermediate,Sunday,11:00:00,7,0,196,101
40,Beginner,Friday,17:00:00,6,0,155,100
41,Intermediate,Sunday,08:30:00,11,0,164,171
42,Advanced,Friday,15:30:00,15,0,199,165
43,Beginner,Friday,16:30:00,6,0,184,13
44,Intermediate,Wednesday,18:00:00,14,0,153,174
45,Intermediate,Sunday,14:00:00,12,0,184,184
46,Intermediate,Monday,11:30:00,12,0,156,140
47,Beginner,Sunday,15:30:00,15,0,168,94
48,Intermediate,Sunday,14:00:00,7,0,191,69
49,Advanced,Friday,16:00:00,13,0,164,81
50,Advanced,Tuesday,18:00:00,11,0,184,21
51,Beginner,Thursday,11:00:00,13,0,152,117
52,Beginner,Tuesday,08:00:00,12,0,190,161
53,Beginner,Friday,13:00:00,10,0,180,180
54,Intermediate,Wednesday,13:00:00,6,0,159,9
55,Beginner,Tuesday,09:00:00,5,0,159,118
56,Beginner,Tuesday,20:30:00,11,0,184,149
57,Beginner,Tuesday,19:30:00,5,0,198,132
58,Beginner,Wednesday,08:30:00,5,0,192,90
59,Beginner,Wednesday,11:30:00,10,0,167,126
60,Beginner,Friday,11:00:00,8,0,173,102
61,Beginner,Wednesday,16:00:00,12,0,164,168
62,Advanced,Tuesday,19:30:00,12,0,190,186
63,Beginner,Sunday,10:30:00,10,0,151,64
64,Advanced,Friday,16:30:00,6,0,189,102
65,Advanced,Tuesday,12:30:00,7,0,191,100
66,Intermediate,Tuesday,17:00:00,14,0,199,170
67,Intermediate,Tuesday,08:30:00,10,0,189,176
68,Advanced,Sunday,18:00:00,12,0,160,141
69,Intermediate,Thursday,08:00:00,13,0,184,58
70,Beginner,Friday,20:30:00,11,0,169,13
71,Intermediate,Tuesday,08:00:00,5,0,174,17
72,Intermediate,Monday,12:30:00,10,0,167,55
73,Intermediate,Sunday,19:00:00,9,0,170,42
74,Beginner,Wednesday,17:00:00,7,0,159,120
75,Beginner,Monday,17:30:00,10,0,184,74
76,Intermediate,Monday,15:30:00,6,0,163,89
77,Advanced,Sunday,18:00:00,13,0,153,192
78,Intermediate,Monday,19:30:00,14,0,191,48
79,Advanced,Monday,13:00:00,11,0,190,32
80,Beginner,Monday,13:00:00,7,0,186,177
81,Beginner,Monday,08:30:00,12,0,197,166
82,Advanced,Monday,15:00:00,14,0,186,134
83,Intermediate,Wednesday,20:30:00,14,0,152,19
84,Beginner,Monday,16:30:00,8,0,184,138
85,Intermediate,Sunday,15:30:00,14,0,173,182
86,Advanced,Monday,19:30:00,14,0,161,159
87,Intermediate,Wednesday,09:00:00,5,0,185,137
88,Beginner,Thursday,10:00:00,13,0,155,117
89,Beginner,Wednesday,15:30:00,6,0,179,80
90,Beginner,Friday,09:30:00,13,0,153,45
91,Advanced,Thursday,08:00:00,10,0,178,3
92,Advanced,Tuesday,16:30:00,10,0,169,58
93,Beginner,Tuesday,10:30:00,14,0,181,194
94,Intermediate,Sunday,08:30:00,7,0,185,178
95,Beginner,Sunday,18:00:00,5,0,162,67
96,Beginner,Tuesday,18:00:00,10,0,196,111
97,Advanced,Wednesday,16:30:00,12,0,162,199
98,Advanced,Thursday,13:00:00,5,0,186,163
99,Advanced,Tuesday,15:00:00,10,0,195,97
100,Beginner,Friday,17:30:00,8,0,198,113
101,Intermediate,Wednesday,20:30:00,7,0,164,43
102,Beginner,Friday,13:30:00,14,0,199,61
103,Intermediate,Friday,08:00:00,10,0,168,73
104,Beginner,Friday,15:00:00,7,0,165,47
105,Beginner,Wednesday,20:30:00,13,0,180,147
106,Intermediate,Thursday,14:00:00,15,0,151,189
107,Advanced,Thursday,12:00:00,12,0,183,81
108,Intermediate,Sunday,20:30:00,11,0,180,63
109,Advanced,Tuesday,15:30:00,5,0,173,155
110,Intermediate,Monday,10:00:00,12,0,163,120
111,Advanced,Friday,15:30:00,7,0,170,111
112,Intermediate,Friday,20:00:00,8,0,193,184
113,Beginner,Monday,10:00:00,11,0,170,94
114,Beginner,Thursday,19:30:00,12,0,196,23
115,Advanced,Wednesday,08:00:00,15,0,198,184
116,Advanced,Sunday,20:30:00,15,0,173,55
117,Beginner,Wednesday,16:30:00,10,0,186,156
118,Beginner,Monday,08:00:00,11,0,171,3
119,Intermediate,Wednesday,13:00:00,14,0,157,195
120,Advanced,Wednesday,20:30:00,15,0,180,189
121,Advanced,Monday,08:00:00,15,0,154,97
122,Intermediate,Tuesday,19:30:00,14,0,176,3
123,Beginner,Wednesday,10:00:00,14,0,196,176
124,Beginner,Friday,11:30:00,9,0,171,100
125,Advanced,Thursday,16:30:00,11,0,191,152
126,Advanced,Friday,11:30:00,5,0,159,15
127,Advanced,Tuesday,18:00:00,15,0,165,10
128,Advanced,Wednesday,18:00:00,12,0,186,118
129,Advanced,Sunday,08:30:00,9,0,173,24
130,Beginner,Thursday,20:00:00,13,0,164,17
131,Beginner,Thursday,20:00:00,15,0,154,73
132,Intermediate,Monday,10:00:00,10,0,171,194
133,Beginner,Sunday,08:00:00,11,0,173,164
134,Beginner,Friday,09:00:00,5,0,161,156
135,Intermediate,Monday,17:00:00,9,0,156,46
136,Intermediate,Monday,17:30:00,6,0,161,175
137,Intermediate,Thursday,09:30:00,5,0,175,65
138,Beginner,Wednesday,20:00:00,12,0,197,149
139,Beginner,Wednesday,15:30:00,13,0,188,104
140,Intermediate,Friday,19:00:00,8,0,167,196
141,Beginner,Wednesday,17:30:00,11,0,154,145
142,Beginner,Thursday,10:30:00,15,0,178,72
143,Intermediate,Friday,12:30:00,7,0,188,174
144,Intermediate,Wednesday,13:00:00,7,0,193,60
145,Intermediate,Wednesday,20:00:00,13,0,180,8
146,Intermediate,Thursday,20:30:00,5,0,190,162
147,Intermediate,Thursday,18:00:00,9,0,199,194
148,Intermediate,Tuesday,11:00:00,14,0,166,101
149,Intermediate,Friday,16:30:00,13,0,155,13
150,Beginner,Wednesday,14:00:00,12,0,196,58
151,Advanced,Sunday,18:30:00,13,0,165,26
152,Beginner,Sunday,09:30:00,6,0,173,9
153,Beginner,Wednesday,13:30:00,10,0,191,132
154,Intermediate,Tuesday,12:30:00,15,0,186,26
155,Advanced,Thursday,11:30:00,9,0,185,106
156,Intermediate,Sunday,08:00:00,7,0,161,120
157,Beginner,Friday,20:30:00,13,0,196,44
158,Beginner,Tuesday,09:00:00,6,0,188,136
159,Intermediate,Monday,12:30:00,6,0,191,60
160,Beginner,Monday,19:00:00,12,0,174,136
161,Beginner,Wednesday,20:30:00,6,0,168,38
162,Beginner,Tuesday,20:00:00,11,0,168,77
163,Intermediate,Monday,09:30:00,11,0,189,168
164,Advanced,Thursday,12:00:00,10,0,200,94
165,Advanced,Friday,09:30:00,6,0,182,87
166,Intermediate,Friday,09:00:00,14,0,164,51
167,Beginner,Tuesday,13:30:00,12,0,181,52
168,Advanced,Thursday,14:30:00,10,0,159,66
169,Intermediate,Tuesday,17:30:00,5,0,186,115
170,Advanced,Thursday,19:00:00,9,0,184,139
171,Intermediate,Friday,19:00:00,15,0,166,143
172,Advanced,Monday,20:00:00,14,0,156,41
173,Advanced,Sunday,15:30:00,14,0,151,136
174,Advanced,Monday,12:00:00,13,0,168,91
175,Advanced,Monday,11:00:00,8,0,195,103
176,Intermediate,Sunday,14:30:00,12,0,161,145
177,Intermediate,Wednesday,10:00:00,11,0,185,171
178,Intermediate,Wednesday,14:30:00,9,0,198,26
179,Advanced,Tuesday,09:00:00,8,0,199,126
180,Advanced,Friday,11:30:00,9,0,152,178
181,Beginner,Sunday,16:30:00,9,0,199,20
182,Beginner,Thursday,18:30:00,14,0,165,8
183,Advanced,Tuesday,11:30:00,11,0,172,100
184,Beginner,Sunday,12:30:00,5,0,195,166
185,Advanced,Wednesday,13:00:00,14,0,155,58
186,Advanced,Tuesday,08:30:00,11,0,152,74
187,Intermediate,Tuesday,10:30:00,9,0,185,110
188,Advanced,Tuesday,20:30:00,14,0,194,33
189,Intermediate,Monday,16:00:00,15,0,151,49
190,Beginner,Tuesday,20:30:00,10,0,164,91
191,Advanced,Thursday,12:30:00,12,0,167,70
192,Advanced,Thursday,17:00:00,15,0,162,189
193,Intermediate,Sunday,18:30:00,9,0,189,95
194,Advanced,Sunday,09:00:00,8,0,158,70
195,Intermediate,Wednesday,11:30:00,8,0,185,108
196,Advanced,Monday,17:30:00,5,0,157,87
197,Beginner,Monday,15:30:00,10,0,199,185
198,Intermediate,Monday,20:30:00,6,0,173,130
199,Beginner,Tuesday,08:30:00,14,0,162,42
200,Intermediate,Thursday,12:00:00,7,0,190,173
